<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.25	06:10:00	4575.45	4580.51	4573.38	4576.56	1583	0	30
2026.03.25	06:15:00	4576.56	4578.48	4571.87	4576.24	1509	0	29
2026.03.25	06:20:00	4576.24	4577.42	4572.86	4577.13	1506	0	31
2026.03.25	06:25:00	4577.12	4579.44	4575.08	4575.30	1364	0	29
2026.03.25	06:30:00	4575.28	4576.77	4571.00	4573.28	1383	0	29
2026.03.25	06:35:00	4573.28	4577.88	4571.70	4573.77	1233	0	29
2026.03.25	06:40:00	4573.78	4573.80	4569.67	4569.83	1110	0	29
2026.03.25	06:45:00	4569.81	4573.56	4568.13	4569.25	1229	0	29
2026.03.25	06:50:00	4569.27	4574.09	4567.64	4573.01	1161	0	29
2026.03.25	06:55:00	4573.02	4573.50	4567.71	4570.05	1052	0	29
2026.03.25	07:00:00	4570.06	4573.99	4565.62	4573.25	1219	0	29
2026.03.25	07:05:00	4573.25	4574.08	4568.32	4571.30	920	0	29
2026.03.25	07:10:00	4571.30	4573.98	4569.45	4573.69	972	0	29
2026.03.25	07:15:00	4573.69	4574.38	4572.98	4573.91	897	0	29
2026.03.25	07:20:00	4573.92	4574.50	4570.95	4572.48	1032	0	29
2026.03.25	07:25:00	4572.43	4574.28	4572.43	4574.09	856	0	29
2026.03.25	07:30:00	4574.10	4574.35	4571.09	4571.18	821	0	29
2026.03.25	07:35:00	4571.18	4574.25	4566.15	4571.83	1008	0	29
2026.03.25	07:40:00	4571.83	4573.16	4569.21	4569.47	850	0	29
2026.03.25	07:45:00	4569.45	4571.01	4568.00	4569.97	1071	0	29
2026.03.25	07:50:00	4569.99	4571.86	4569.43	4569.99	866	0	29
2026.03.25	07:55:00	4570.29	4573.85	4570.25	4572.42	873	0	29
2026.03.25	08:00:00	4572.79	4572.88	4567.46	4569.20	1030	0	29
2026.03.25	08:05:00	4569.20	4573.26	4566.73	4571.71	1054	0	29
2026.03.25	08:10:00	4571.73	4572.03	4568.34	4571.41	991	0	29
2026.03.25	08:15:00	4571.42	4571.59	4563.90	4564.52	1173	0	29
2026.03.25	08:20:00	4564.49	4565.25	4560.63	4562.96	1256	0	29
2026.03.25	08:25:00	4563.05	4563.05	4553.88	4554.61	1454	0	29
2026.03.25	08:30:00	4554.54	4558.82	4549.40	4553.08	1896	0	29
2026.03.25	08:35:00	4553.05	4559.88	4551.62	4559.01	1625	0	29
2026.03.25	08:40:00	4559.00	4566.85	4557.17	4566.70	1687	0	29
2026.03.25	08:45:00	4566.53	4566.83	4559.22	4559.24	1440	0	29
2026.03.25	08:50:00	4559.24	4564.63	4555.51	4559.06	1547	0	29
2026.03.25	08:55:00	4559.04	4559.04	4553.64	4555.64	1659	0	29
2026.03.25	09:00:00	4555.67	4556.79	4546.34	4550.29	1706	0	29
2026.03.25	09:05:00	4550.26	4551.75	4539.18	4540.70	1755	0	29
2026.03.25	09:10:00	4540.60	4546.94	4533.08	4534.51	1839	0	29
2026.03.25	09:15:00	4534.31	4550.01	4534.29	4549.27	1623	0	29
2026.03.25	09:20:00	4549.14	4552.63	4547.47	4551.20	1524	0	29
2026.03.25	09:25:00	4551.22	4552.27	4548.09	4550.39	1528	0	29
2026.03.25	09:30:00	4550.53	4556.80	4550.27	4553.60	1512	0	29
2026.03.25	09:35:00	4553.57	4553.68	4546.24	4546.46	1338	0	29
2026.03.25	09:40:00	4546.45	4548.87	4544.10	4546.77	1485	0	29
2026.03.25	09:45:00	4546.65	4550.58	4543.73	4547.57	1416	0	29
2026.03.25	09:50:00	4547.83	4550.13	4546.50	4547.91	1323	0	29
2026.03.25	09:55:00	4548.31	4549.58	4543.32	4545.47	1397	0	29
2026.03.25	10:00:00	4545.45	4550.38	4544.69	4548.71	1438	0	29
2026.03.25	10:05:00	4548.69	4552.26	4548.04	4550.98	1252	0	29
2026.03.25	10:10:00	4550.96	4558.99	4549.62	4556.77	1368	0	29
2026.03.25	10:15:00	4556.80	4562.33	4556.50	4562.15	1349	0	29
2026.03.25	10:20:00	4562.12	4563.15	4555.85	4556.95	1299	0	29
2026.03.25	10:25:00	4556.94	4562.60	4556.28	4560.98	1346	0	29
2026.03.25	10:30:00	4561.00	4561.01	4553.61	4554.94	1447	0	29
2026.03.25	10:35:00	4555.04	4555.04	4542.83	4546.82	1594	0	29
2026.03.25	10:40:00	4546.82	4552.45	4545.75	4546.92	1462	0	29
2026.03.25	10:45:00	4547.00	4550.07	4539.66	4544.86	1559	0	29
2026.03.25	10:50:00	4544.66	4546.27	4542.52	4544.80	1312	0	29
2026.03.25	10:55:00	4544.77	4545.15	4536.98	4539.44	1455	0	29
2026.03.25	11:00:00	4539.41	4549.61	4535.86	4545.68	1758	0	29
2026.03.25	11:05:00	4545.60	4554.98	4543.99	4551.67	1699	0	29
2026.03.25	11:10:00	4551.73	4559.12	4550.00	4558.45	1663	0	29
2026.03.25	11:15:00	4558.45	4564.54	4557.19	4563.41	1600	0	29
2026.03.25	11:20:00	4563.37	4567.62	4561.90	4562.43	1615	0	29
2026.03.25	11:25:00	4562.49	4567.09	4561.16	4565.51	1598	0	29
2026.03.25	11:30:00	4565.51	4567.21	4563.08	4566.28	1492	0	29
2026.03.25	11:35:00	4566.24	4566.24	4553.36	4563.41	1802	0	29
2026.03.25	11:40:00	4563.40	4567.30	4562.56	4565.19	1602	0	29
2026.03.25	11:45:00	4565.19	4566.96	4562.27	4564.96	1695	0	29
2026.03.25	11:50:00	4564.93	4567.07	4558.90	4559.09	1626	0	29
2026.03.25	11:55:00	4559.08	4561.36	4555.03	4556.07	1566	0	29
2026.03.25	12:00:00	4556.01	4565.14	4554.29	4563.04	1536	0	29
2026.03.25	12:05:00	4563.07	4567.56	4560.57	4562.46	1551	0	29
2026.03.25	12:10:00	4562.39	4565.96	4558.93	4562.11	1406	0	29
2026.03.25	12:15:00	4562.11	4565.40	4561.61	4563.66	1400	0	29
2026.03.25	12:20:00	4563.65	4565.99	4554.86	4555.79	1443	0	29
2026.03.25	12:25:00	4555.78	4560.60	4554.70	4558.49	1487	0	29
2026.03.25	12:30:00	4558.34	4560.24	4555.46	4556.36	1399	0	29
2026.03.25	12:35:00	4556.37	4559.32	4550.86	4555.36	1646	0	29
2026.03.25	12:40:00	4555.37	4557.78	4549.34	4550.66	1525	0	29
2026.03.25	12:45:00	4550.60	4551.33	4527.81	4537.94	1884	0	29
2026.03.25	12:50:00	4537.90	4548.37	4537.43	4548.29	1688	0	29
2026.03.25	12:55:00	4548.28	4555.45	4545.17	4551.79	1695	0	29
2026.03.25	13:00:00	4551.82	4560.84	4551.23	4558.95	1747	0	29
2026.03.25	13:05:00	4558.95	4559.95	4556.51	4557.02	1402	0	29
2026.03.25	13:10:00	4557.03	4558.66	4553.84	4555.07	1379	0	29
2026.03.25	13:15:00	4555.06	4557.99	4551.56	4556.50	1332	0	29
2026.03.25	13:20:00	4556.50	4558.15	4553.27	4553.85	1273	0	29
2026.03.25	13:25:00	4553.85	4557.97	4553.03	4555.27	1374	0	29
2026.03.25	13:30:00	4555.10	4557.14	4552.91	4553.54	1407	0	29
2026.03.25	13:35:00	4553.49	4558.87	4551.12	4556.15	1350	0	29
2026.03.25	13:40:00	4556.15	4558.16	4551.57	4552.26	1324	0	29
2026.03.25	13:45:00	4552.23	4557.74	4551.77	4557.43	1329	0	29
2026.03.25	13:50:00	4557.42	4562.35	4556.62	4561.30	1353	0	29
2026.03.25	13:55:00	4561.32	4561.56	4558.00	4558.74	1111	0	29
2026.03.25	14:00:00	4558.79	4566.08	4556.09	4566.08	1207	0	29
2026.03.25	14:05:00	4566.05	4568.90	4565.93	4567.72	1385	0	29
2026.03.25	14:10:00	4567.75	4568.77	4562.22	4567.57	1375	0	29
2026.03.25	14:15:00	4567.73	4568.63	4564.32	4567.47	1138	0	29
2026.03.25	14:20:00	4567.48	4582.81	4566.44	4581.97	1515	0	29
2026.03.25	14:25:00	4581.97	4582.69	4576.88	4579.76	1444	0	29
2026.03.25	14:30:00	4579.77	4584.51	4579.77	4582.71	1427	0	29
2026.03.25	14:35:00	4582.71	4585.34	4581.60	4583.14	1312	0	29
2026.03.25	14:40:00	4583.09	4584.74	4581.20	4583.49	1340	0	29
2026.03.25	14:45:00	4583.48	4583.76	4573.28	4577.36	1654	0	29
2026.03.25	14:50:00	4577.35	4578.33	4572.43	4577.48	1743	0	29
2026.03.25	14:55:00	4577.48	4579.39	4575.52	4578.77	1501	0	29
2026.03.25	15:00:00	4578.64	4583.38	4578.36	4578.40	1645	0	29
2026.03.25	15:05:00	4578.35	4583.60	4572.84	4580.90	1618	0	29
2026.03.25	15:10:00	4580.77	4583.40	4577.20	4577.62	1597	0	29
2026.03.25	15:15:00	4577.65	4579.03	4562.54	4562.79	2015	0	29
2026.03.25	15:20:00	4562.85	4568.14	4553.00	4556.21	2072	0	29
2026.03.25	15:25:00	4556.22	4560.34	4540.14	4545.08	2026	0	29
2026.03.25	15:30:00	4545.07	4547.94	4522.10	4537.87	2046	0	29
2026.03.25	15:35:00	4537.98	4554.56	4537.98	4553.72	1940	0	29
2026.03.25	15:40:00	4553.65	4554.14	4547.21	4547.34	1784	0	29
2026.03.25	15:45:00	4547.24	4547.25	4536.10	4543.69	1920	0	29
2026.03.25	15:50:00	4543.64	4547.89	4539.53	4546.71	1692	0	29
2026.03.25	15:55:00	4546.79	4552.20	4543.85	4543.96	1761	0	29
2026.03.25	16:00:00	4543.94	4571.12	4541.51	4567.68	2113	0	29
2026.03.25	16:05:00	4567.67	4568.43	4559.49	4561.08	1825	0	29
2026.03.25	16:10:00	4561.08	4565.55	4557.21	4559.25	1807	0	29
2026.03.25	16:15:00	4559.29	4563.46	4555.24	4559.95	1726	0	29
2026.03.25	16:20:00	4559.97	4561.52	4551.48	4558.50	1729	0	29
2026.03.25	16:25:00	4558.52	4570.49	4557.07	4568.86	1784	0	29
2026.03.25	16:30:00	4569.19	4576.27	4562.33	4568.43	2137	0	29
2026.03.25	16:35:00	4568.94	4570.63	4557.70	4558.06	2110	0	29
2026.03.25	16:40:00	4558.49	4569.81	4556.61	4561.18	2126	0	29
2026.03.25	16:45:00	4561.19	4563.67	4551.42	4551.98	2124	0	29
2026.03.25	16:50:00	4552.01	4552.03	4541.20	4546.43	2114	0	29
2026.03.25	16:55:00	4546.74	4553.37	4540.97	4544.68	2119	0	29
2026.03.25	17:00:00	4544.90	4550.10	4533.12	4545.38	2139	0	29
2026.03.25	17:05:00	4545.44	4551.84	4539.93	4551.32	2119	0	29
2026.03.25	17:10:00	4551.11	4554.97	4548.35	4553.35	2045	0	29
2026.03.25	17:15:00	4553.45	4562.26	4553.26	4556.86	1959	0	29
2026.03.25	17:20:00	4557.16	4559.69	4546.11	4547.81	1999	0	29
2026.03.25	17:25:00	4548.34	4562.67	4547.19	4562.67	2135	0	29
2026.03.25	17:30:00	4562.74	4566.45	4557.55	4565.64	2010	0	29
2026.03.25	17:35:00	4565.71	4566.63	4561.69	4564.65	2012	0	29
2026.03.25	17:40:00	4564.91	4569.08	4561.80	4565.52	2010	0	29
2026.03.25	17:45:00	4565.52	4574.23	4565.52	4572.69	1915	0	29
2026.03.25	17:50:00	4572.67	4579.25	4567.13	4568.06	1861	0	29
2026.03.25	17:55:00	4568.04	4570.07	4563.78	4567.08	1875	0	29
2026.03.25	18:00:00	4567.15	4568.83	4561.97	4564.36	1980	0	29
2026.03.25	18:05:00	4564.37	4565.31	4549.69	4549.80	1985	0	29
2026.03.25	18:10:00	4549.81	4555.95	4549.79	4549.84	1992	0	29
2026.03.25	18:15:00	4549.87	4551.56	4525.06	4546.30	2157	0	29
2026.03.25	18:20:00	4546.33	4561.66	4545.84	4556.36	2070	0	29
2026.03.25	18:25:00	4556.55	4560.66	4552.91	4560.66	1971	0	29
2026.03.25	18:30:00	4560.64	4564.92	4560.64	4562.66	1803	0	29
2026.03.25	18:35:00	4562.64	4564.77	4558.27	4558.38	1789	0	29
2026.03.25	18:40:00	4558.38	4560.89	4555.29	4557.02	1775	0	29
2026.03.25	18:45:00	4557.08	4558.39	4553.52	4557.16	1897	0	29
2026.03.25	18:50:00	4557.14	4562.92	4557.13	4561.85	1913	0	29
2026.03.25	18:55:00	4561.83	4565.72	4558.83	4558.95	1897	0	29
2026.03.25	19:00:00	4558.97	4564.80	4557.05	4558.77	2017	0	29
2026.03.25	19:05:00	4558.76	4562.09	4553.27	4560.37	1973	0	29
2026.03.25	19:10:00	4560.35	4561.03	4552.56	4553.72	1831	0	29
2026.03.25	19:15:00	4553.81	4555.14	4546.19	4549.41	1861	0	29
2026.03.25	19:20:00	4549.60	4555.97	4545.27	4555.97	1947	0	29
2026.03.25	19:25:00	4555.97	4560.40	4552.78	4555.33	2046	0	29
2026.03.25	19:30:00	4555.58	4556.81	4551.33	4552.92	1837	0	29
2026.03.25	19:35:00	4553.05	4560.27	4551.33	4559.38	1828	0	29
2026.03.25	19:40:00	4559.38	4560.86	4554.35	4555.97	1843	0	29
2026.03.25	19:45:00	4555.96	4556.17	4551.16	4552.13	1781	0	29
2026.03.25	19:50:00	4552.03	4559.13	4549.85	4558.11	1752	0	29
2026.03.25	19:55:00	4557.95	4558.39	4555.05	4555.32	1722	0	29
2026.03.25	20:00:00	4555.17	4557.79	4550.94	4553.32	1712	0	29
2026.03.25	20:05:00	4553.20	4553.92	4545.43	4546.08	1823	0	29
2026.03.25	20:10:00	4545.70	4554.12	4543.43	4551.13	1774	0	29
2026.03.25	20:15:00	4551.30	4552.12	4542.80	4545.98	1585	0	29
2026.03.25	20:20:00	4546.02	4555.92	4545.70	4551.76	1714	0	29
2026.03.25	20:25:00	4551.81	4558.28	4551.48	4553.35	1716	0	29
2026.03.25	20:30:00	4553.72	4563.24	4550.30	4562.60	1720	0	29
2026.03.25	20:35:00	4562.71	4563.95	4560.31	4561.70	1624	0	29
2026.03.25	20:40:00	4561.68	4561.76	4557.46	4560.50	1644	0	29
2026.03.25	20:45:00	4560.47	4561.99	4557.91	4559.00	1623	0	29
2026.03.25	20:50:00	4559.00	4559.00	4546.90	4547.89	1671	0	29
2026.03.25	20:55:00	4547.71	4554.90	4545.72	4550.70	1714	0	29
2026.03.25	21:00:00	4550.69	4568.95	4545.49	4552.20	1995	0	29
2026.03.25	21:05:00	4552.36	4560.49	4551.28	4551.97	1728	0	29
2026.03.25	21:10:00	4551.69	4553.24	4547.94	4551.37	1714	0	29
2026.03.25	21:15:00	4551.38	4552.05	4546.49	4549.00	1750	0	29
2026.03.25	21:20:00	4548.99	4555.34	4548.91	4555.32	1708	0	29
2026.03.25	21:25:00	4555.33	4556.53	4551.32	4551.91	1687	0	29
2026.03.25	21:30:00	4551.91	4557.75	4551.80	4556.58	1612	0	29
2026.03.25	21:35:00	4556.58	4557.26	4549.64	4549.91	1498	0	29
2026.03.25	21:40:00	4550.13	4550.63	4546.91	4549.16	1567	0	29
2026.03.25	21:45:00	4549.25	4549.55	4542.87	4543.89	1569	0	29
2026.03.25	21:50:00	4544.61	4545.59	4538.80	4541.64	1550	0	29
2026.03.25	21:55:00	4541.66	4541.79	4531.00	4538.23	1922	0	29
2026.03.25	22:00:00	4538.26	4539.49	4529.79	4533.39	1888	0	29
2026.03.25	22:05:00	4533.42	4535.65	4502.58	4503.56	1803	0	29
2026.03.25	22:10:00	4503.56	4509.97	4486.99	4509.10	2117	0	29
2026.03.25	22:15:00	4509.04	4516.09	4502.92	4510.02	1986	0	29
2026.03.25	22:20:00	4510.06	4514.44	4505.31	4514.00	1901	0	29
2026.03.25	22:25:00	4513.96	4518.50	4510.72	4513.19	1838	0	29
2026.03.25	22:30:00	4513.05	4518.40	4512.12	4516.31	1732	0	29
2026.03.25	22:35:00	4516.32	4517.77	4506.33	4511.87	1775	0	29
2026.03.25	22:40:00	4511.88	4527.03	4511.20	4522.50	1695	0	29
2026.03.25	22:45:00	4522.43	4523.80	4513.77	4514.82	1679	0	29
2026.03.25	22:50:00	4515.03	4520.29	4514.06	4518.29	1860	0	29
2026.03.25	22:55:00	4518.30	4533.73	4517.69	4530.95	1822	0	29
2026.03.25	23:00:00	4530.81	4542.04	4529.96	4535.50	1630	0	29
2026.03.25	23:05:00	4535.49	4536.77	4526.65	4527.08	1197	0	29
2026.03.25	23:10:00	4527.76	4529.86	4522.94	4529.32	1165	0	29
2026.03.25	23:15:00	4529.31	4534.08	4529.28	4530.86	928	0	29
2026.03.25	23:20:00	4530.83	4530.94	4522.22	4523.96	1075	0	29
2026.03.25	23:25:00	4523.96	4526.24	4522.51	4523.49	948	0	29
2026.03.25	23:30:00	4523.48	4524.82	4519.31	4520.90	964	0	29
2026.03.25	23:35:00	4520.88	4520.98	4503.12	4503.80	1528	0	29
2026.03.25	23:40:00	4503.76	4506.50	4494.72	4504.62	1528	0	29
2026.03.25	23:45:00	4504.60	4506.89	4502.01	4505.97	1048	0	29
2026.03.25	23:50:00	4505.97	4507.32	4501.73	4504.14	872	0	29
2026.03.25	23:55:00	4504.15	4507.38	4502.88	4505.66	677	0	31
2026.03.26	01:00:00	4510.70	4524.81	4510.70	4521.17	1506	0	29
2026.03.26	01:05:00	4521.26	4531.92	4508.93	4509.35	1613	0	29
2026.03.26	01:10:00	4509.41	4517.17	4509.13	4512.47	1405	0	29
2026.03.26	01:15:00	4512.48	4513.75	4505.56	4507.99	1216	0	29
2026.03.26	01:20:00	4507.99	4517.24	4507.18	4517.04	1278	0	29
2026.03.26	01:25:00	4517.04	4519.76	4509.51	4511.66	1061	0	29
2026.03.26	01:30:00	4511.65	4520.33	4508.24	4520.08	1089	0	29
2026.03.26	01:35:00	4520.20	4526.56	4516.99	4525.90	1176	0	29
2026.03.26	01:40:00	4525.87	4534.50	4522.32	4531.94	1221	0	29
2026.03.26	01:45:00	4531.99	4533.02	4517.50	4518.45	1296	0	32
2026.03.26	01:50:00	4518.23	4524.59	4515.47	4516.61	1351	0	31
2026.03.26	01:55:00	4516.61	4519.90	4512.25	4517.52	1250	0	30
2026.03.26	02:00:00	4517.53	4518.08	4503.54	4504.50	1342	0	29
2026.03.26	02:05:00	4504.31	4513.37	4497.95	4507.44	1497	0	31
2026.03.26	02:10:00	4507.43	4514.36	4506.21	4508.89	1135	0	31
2026.03.26	02:15:00	4508.88	4512.90	4506.33	4506.72	1232	0	31
2026.03.26	02:20:00	4506.72	4506.83	4498.54	4503.18	1330	0	30
2026.03.26	02:25:00	4503.18	4506.03	4497.05	4505.44	1235	0	31
2026.03.26	02:30:00	4505.44	4510.96	4503.98	4505.98	1083	0	29
2026.03.26	02:35:00	4505.97	4506.15	4489.84	4493.96	1395	0	29
2026.03.26	02:40:00	4493.93	4497.91	4488.95	4494.73	1304	0	29
2026.03.26	02:45:00	4494.78	4498.39	4491.38	4492.33	1296	0	29
2026.03.26	02:50:00	4492.34	4498.28	4491.51	4495.59	1279	0	29
2026.03.26	02:55:00	4495.59	4499.82	4494.63	4498.21	1136	0	29
2026.03.26	03:00:00	4498.22	4513.37	4498.10	4510.01	1537	0	29
2026.03.26	03:05:00	4510.03	4520.67	4508.26	4514.15	1645	0	30
2026.03.26	03:10:00	4514.07	4527.71	4508.82	4527.61	1778	0	30
2026.03.26	03:15:00	4527.62	4535.51	4524.23	4527.48	1799	0	30
2026.03.26	03:20:00	4527.48	4532.05	4524.90	4526.59	1490	0	31
2026.03.26	03:25:00	4526.96	4530.17	4524.16	4525.37	1331	0	29
2026.03.26	03:30:00	4525.37	4531.88	4524.77	4525.05	1362	0	29
2026.03.26	03:35:00	4525.06	4529.85	4524.59	4526.63	1214	0	29
2026.03.26	03:40:00	4526.66	4532.69	4526.66	4527.90	1205	0	29
2026.03.26	03:45:00	4527.90	4536.63	4527.32	4534.98	1327	0	29
2026.03.26	03:50:00	4535.01	4539.24	4527.85	4528.22	1636	0	29
2026.03.26	03:55:00	4528.19	4536.12	4527.89	4535.73	1482	0	31
2026.03.26	04:00:00	4535.72	4544.33	4531.33	4538.22	1994	0	29
2026.03.26	04:05:00	4538.24	4540.77	4534.01	4538.82	1760	0	29
2026.03.26	04:10:00	4538.96	4540.13	4533.60	4538.38	1650	0	29
2026.03.26	04:15:00	4538.42	4538.60	4526.90	4530.12	1822	0	29
2026.03.26	04:20:00	4530.11	4537.28	4529.24	4531.51	1548	0	30
2026.03.26	04:25:00	4531.60	4536.59	4529.16	4534.51	1685	0	29
2026.03.26	04:30:00	4534.52	4537.83	4529.15	4530.60	1717	0	29
2026.03.26	04:35:00	4530.59	4533.25	4526.15	4530.64	1709	0	31
2026.03.26	04:40:00	4530.69	4536.32	4527.75	4530.26	1611	0	31
2026.03.26	04:45:00	4530.23	4531.86	4523.80	4524.80	1638	0	31
2026.03.26	04:50:00	4524.56	4534.72	4522.54	4530.23	1645	0	30
2026.03.26	04:55:00	4530.24	4536.05	4528.91	4535.64	1598	0	29
2026.03.26	05:00:00	4535.66	4535.76	4527.56	4533.54	1601	0	29
2026.03.26	05:05:00	4533.49	4534.14	4528.31	4529.43	1600	0	29
2026.03.26	05:10:00	4529.45	4534.06	4528.91	4531.16	1457	0	29
2026.03.26	05:15:00	4531.16	4533.08	4525.16	4528.25	1395	0	29
2026.03.26	05:20:00	4528.25	4531.29	4524.92	4525.17	1374	0	31
2026.03.26	05:25:00	4525.23	4529.65	4525.23	4528.16	1364	0	29
2026.03.26	05:30:00	4528.15	4530.56	4520.11	4523.56	1625	0	29
2026.03.26	05:35:00	4523.55	4524.12	4511.89	4514.33	1815	0	29
2026.03.26	05:40:00	4514.33	4520.85	4514.00	4519.41	1536	0	29
2026.03.26	05:45:00	4519.39	4520.94	4515.08	4516.47	1605	0	29
2026.03.26	05:50:00	4516.50	4517.76	4512.29	4515.42	1326	0	29
2026.03.26	05:55:00	4515.42	4515.79	4505.72	4508.88	1563	0	29
2026.03.26	06:00:00	4508.89	4509.80	4501.94	4504.85	1649	0	29
2026.03.26	06:05:00	4504.85	4509.76	4504.08	4504.12	1483	0	29
2026.03.26	06:10:00	4504.12	4511.77	4503.14	4511.28	1503	0	29
2026.03.26	06:15:00	4511.27	4513.72	4505.79	4507.42	1587	0	29
2026.03.26	06:20:00	4507.44	4507.90	4499.96	4504.31	1453	0	29
2026.03.26	06:25:00	4504.30	4509.15	4503.83	4506.50	1517	0	31
2026.03.26	06:30:00	4506.55	4516.71	4506.33	4516.18	1377	0	29
2026.03.26	06:35:00	4516.16	4518.25	4515.01	4517.49	1302	0	31
2026.03.26	06:40:00	4517.38	4518.84	4515.03	4515.64	1199	0	29
2026.03.26	06:45:00	4515.62	4516.08	4513.92	4515.28	995	0	29
2026.03.26	06:50:00	4515.28	4515.28	4510.41	4510.74	1138	0	29
